"Timestamp","Subject ID","Mind (E vs. I)","Energy (S vs. N)","Nature (T vs. F)","Tactics (J vs. P)","Identity (A vs. T)"
"2016/07/09 8:42:53 PM MDT","10","Extravert","Intuition","Feeling","Perceiving","Turbulent"
"2016/07/09 10:38:13 PM MDT","20","Introvert","Intuition","Feeling","Judging","Assertive"
"2016/07/09 10:38:37 PM MDT","21","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/09 10:38:59 PM MDT","22","Extravert","Intuition","Feeling","Judging","Assertive"
"2016/07/10 11:30:29 PM MDT","30","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/10 11:30:49 PM MDT","31","Introvert","Intuition","Feeling","Judging","Turbulent"
"2016/07/21 7:40:13 PM MDT","200","Extravert","Sensing","Thinking","Judging","Assertive"
"2016/07/21 7:40:36 PM MDT","201","Introvert","Sensing","Feeling","Perceiving","Turbulent"
"2016/07/21 7:41:01 PM MDT","202","Extravert","Intuition","Feeling","Judging","Assertive"
"2016/07/21 7:42:00 PM MDT","203","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:42:54 PM MDT","204","Extravert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/21 7:43:15 PM MDT","205","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/21 7:43:49 PM MDT","206","Introvert","Sensing","Thinking","Judging","Turbulent"
"2016/07/21 7:44:09 PM MDT","207","Introvert","Sensing","Feeling","Perceiving","Turbulent"
"2016/07/21 7:44:30 PM MDT","208","Introvert","Intuition","Feeling","Perceiving","Turbulent"
"2016/07/21 7:44:48 PM MDT","209","Extravert","Intuition","Feeling","Judging","Turbulent"
"2016/07/21 7:45:47 PM MDT","210","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:46:06 PM MDT","211","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:46:23 PM MDT","212","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/21 7:46:43 PM MDT","213","Introvert","Intuition","Feeling","Perceiving","Turbulent"
"2016/07/21 7:47:08 PM MDT","214","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:47:32 PM MDT","215","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/21 7:47:56 PM MDT","216","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:48:13 PM MDT","217","Introvert","Sensing","Feeling","Perceiving","Turbulent"
"2016/07/21 7:48:38 PM MDT","218","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:49:52 PM MDT","219","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:50:16 PM MDT","220","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/21 7:50:35 PM MDT","221","Extravert","Intuition","Feeling","Judging","Turbulent"
"2016/07/25 8:27:09 PM MDT","301","Introvert","Intuition","Feeling","Perceiving","Assertive"
"2016/07/25 8:50:00 PM MDT","303","Introvert","Intuition","Feeling","Perceiving","Assertive"
"2016/07/25 8:56:22 PM MDT","302","Extravert","Sensing","Feeling","Judging","Turbulent"
"2016/07/25 9:04:15 PM MDT","304","Extravert","Intuition","Feeling","Judging","Assertive"
"2016/07/25 9:08:26 PM MDT","305","Extravert","Intuition","Feeling","Perceiving","Turbulent"
"2016/07/25 9:15:23 PM MDT","306","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/25 9:28:34 PM MDT","307","Introvert","Intuition","Feeling","Judging","Turbulent"
"2016/07/25 9:38:12 PM MDT","308","Introvert","Intuition","Thinking","Perceiving","Assertive"
"2016/07/25 9:41:20 PM MDT","309","Extravert","Intuition","Thinking","Perceiving","Assertive"
"2016/07/25 9:44:11 PM MDT","314","Extravert","Sensing","Feeling","Judging","Turbulent"
"2016/07/25 11:06:04 PM MDT","102","Extravert","Intuition","Feeling","Judging","Turbulent"
"2016/07/25 11:07:15 PM MDT","106","Extravert","Intuition","Feeling","Judging","Assertive"
"2016/07/25 11:09:27 PM MDT","101","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/25 11:35:46 PM MDT","104","Introvert","Intuition","Feeling","Perceiving","Turbulent"
"2016/07/26 2:15:05 PM MDT","107","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/26 2:15:29 PM MDT","103","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/26 2:15:50 PM MDT","108","Introvert","Intuition","Thinking","Judging","Assertive"
"2016/07/26 2:16:12 PM MDT","109","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/26 2:16:34 PM MDT","112","Introvert","Intuition","Thinking","Judging","Turbulent"
"2016/07/26 2:16:56 PM MDT","110","Extravert","Intuition","Feeling","Judging","Turbulent"
"2016/07/26 2:17:18 PM MDT","105","Extravert","Sensing","Feeling","Judging","Turbulent"
"2016/07/26 3:08:31 PM MDT","223","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/26 3:08:47 PM MDT","224","Introvert","Intuition","Thinking","Perceiving","Turbulent"
"2016/07/26 3:09:06 PM MDT","225","Introvert","Sensing","Feeling","Judging","Assertive"
"2016/07/26 3:09:27 PM MDT","226","Extravert","Sensing","Feeling","Judging","Turbulent"
"2016/07/26 3:28:19 PM MDT","222","Extravert","Intuition","Feeling","Perceiving","Assertive"
"2016/07/26 6:30:29 PM MDT","111","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/27 12:20:29 PM MDT","113","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/27 1:58:10 PM MDT","115","Extravert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/27 2:42:36 PM MDT","114","Introvert","Intuition","Feeling","Perceiving","Assertive"
"2016/07/27 5:40:38 PM MDT","117","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/27 6:12:54 PM MDT","116","Introvert","Intuition","Feeling","Perceiving","Assertive"
"2016/07/28 1:17:24 PM MDT","118","Introvert","Intuition","Feeling","Perceiving","Assertive"
"2016/07/28 1:30:05 PM MDT","120","Introvert","Intuition","Feeling","Perceiving","Turbulent"
"2016/07/28 1:42:38 PM MDT","119","Introvert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/28 2:48:22 PM MDT","122","Introvert","Intuition","Thinking","Judging","Assertive"
"2016/07/29 12:10:55 PM MDT","227","Extravert","Sensing","Feeling","Judging","Turbulent"
"2016/07/29 12:11:15 PM MDT","228","Introvert","Intuition","Feeling","Judging","Turbulent"
"2016/07/29 12:11:32 PM MDT","229","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/29 1:14:51 PM MDT","121","Extravert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/29 1:16:44 PM MDT","123","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/29 1:39:06 PM MDT","125","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/30 6:45:52 PM MDT","300","Introvert","Intuition","Thinking","Judging","Assertive"
"2016/07/30 7:05:58 PM MDT","310","Introvert","Intuition","Thinking","Perceiving","Turbulent"
"2016/07/30 7:40:27 PM MDT","311","Extravert","Sensing","Thinking","Judging","Turbulent"
"2016/07/30 7:48:57 PM MDT","312","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/30 8:00:06 PM MDT","315","Extravert","Sensing","Thinking","Judging","Assertive"
"2016/07/30 8:17:38 PM MDT","317","Introvert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/30 8:32:27 PM MDT","318","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/08/01 9:24:31 PM MDT","313","Extravert","Intuition","Feeling","Judging","Turbulent"
"2016/08/01 9:34:19 PM MDT","316","Introvert","Intuition","Feeling","Judging","Turbulent"
"2016/08/01 9:40:13 PM MDT","319","Introvert","Sensing","Thinking","Judging","Turbulent"
"2016/08/01 9:45:14 PM MDT","320","Extravert","Sensing","Feeling","Judging","Assertive"